h,Extension of Time Granted to Applicant: A ruling issued granting the applicant an extension of time under subsection 47(1) of the Trade-marks Act.
6,Extension of Time Granted to Opponent: A ruling issued granting the opponent an extension of time under subsection 47(1) of the Trade-marks Act.
7,Administrative Delay: A ruling issued setting a deadline for one or both of the parties to respond.
8,With Consent - Extension of Time Granted to Opponent: With the consent from the applicant, a ruling issued granting the opponent an extension of time under subsection 47 (1) of the Trade-marks Act.
9,With Consent - Extension of Time Granted to Applicant: With the consent from the opponent, a ruling issued granting the applicant an extension of time under subsection 47 (1) of the Trade-marks Act.
10,Extension of Time Granted to Opponent - Cooling-off: A ruling issued granting the opponent an extension of time under subsection 47(1) of the Trade-marks Act amounting to a cooling-off period for the purpose of settlement negotiations.
11,Extension of Time Granted to Applicant - Cooling-off: A ruling issued granting the applicant an extension of time under subsection 47(1) of the Trade-marks Act amounting to a cooling-off period for the purpose of settlement negotiations.
13,Correspondence Created: The Registrar has issued correspondence.
15,Extension of Time Refused to Applicant: An extension of time requested by the applicant under subsection 47(1) of the Trade-marks Act has been refused.
16,Extension of Time Refused to Opponent: An extension of time requested by the opponent under subsection 47(1) of the Trade-marks Act has been refused.
20,Cross Examination Letter Sent to Opponent - 4 Months Only: An order issued by the Registrar to give the opponent 4 months to conduct cross examinations of the applicant’s affidavits with no effect on any other deadlines.
21,Cross Examination Letter Sent to Opponent - 4 + 4 Months: An order issued by the Registrar to give the opponent 4 months to conduct cross examinations of the applicant’s Rule 42 affidavits and a ruling granting the opponent an extension of time under subsection 47(1) of the Trade-marks Act for filing of its Rule 43 evidence.
22,Cross Examination Letter Sent to Applicant - 4 Months Only: An order issued by the Registrar to give the applicant 4 months to conduct cross examinations of the opponent’s affidavits with no effect on any other deadlines.
23,Cross Examination Letter Sent to Applicant - 4 + 4 Months: An order issued by the Registrar to give the applicant 4 months to conduct cross examinations of the opponent’s Rule 41 affidavits and a ruling granting the applicant an extension of time under subsection 47(1) of the Trade-marks Act for filing of its Rule 42 evidence. 
48,Agent Changed: The Registrar has recorded a new agent on the record.
87,Rep for Service Changed: The Registrar has recorded a new representative for service.
91,Case Closed - Opponent Withdraws: The opponent has voluntarily withdrawn its opposition to the trademark application at issue and the trademark application which was the subject of the opposition will now proceed to allowance.
92,Case Closed - Abandoned Section 38(7): The trademark application is deemed to have been abandoned under subsection 38(7.2) of the Trade-marks Act.
94,Case Closed - Deemed Withdrawn: Opposition is deemed to be abandoned in accordance with subsection 38(7.1) of the Trade-marks Act.
101,S/O Filed: A statement of opposition has been filed with the Registrar by the opponent.
102,S/O Fee Received: The required fee of $750 for filing the opponent’s statement of opposition has been received in full.
105,S/O Forwarded for Review: Statement of opposition has been forwarded to a member of the Board to assess if the statement of opposition raises a substantial issue for decision under subsections 38(4) and (5) of the Trade-marks Act.
106,S/O Sent to Applicant: Statement of opposition forwarded by the Trademarks Opposition Board to the applicant.
108,Failed to File C/S: The applicant has not filed (and served) its counter statement in response to the opponent’s statement of opposition.
109,Deadline Expired – Applicant’s Evidence: The applicant’s deadline for filing evidence under Rule 42 has expired.
110,Amended S/O Filed by Opponent: An amended statement of opposition has been filed by the opponent.
111,Amended S/O Served on Applicant: Amended statement of opposition sent to the applicant by the opponent.
113,Amended S/O Refused: Amended statement of opposition not accepted by the Trademarks Opposition Board.
115,Amended S/O Accepted: Amended statement of opposition accepted by the Trademarks Opposition Board.
120,Evidence Filed by Opponent: The Registrar has received evidence filed by the opponent under section 41 of the Regulations.
121,Evidence Served on Applicant: Evidence served in accordance with section 37 of the Trade-marks Regulations by the opponent on the applicant.
122,Statement Filed - No Evidence from Opponent: The Registrar has received correspondence from the opponent confirming that he will not be filing evidence as required by s. 41 of the Regulations and subsection 38(7.1) of the Act.
123,Statement Served - No Evidence from Opponent: A statement served in accordance with section 37 of the Trade-marks Regulations by the opponent on the applicant to advise that the opponent will not be filing evidence.
126,Statement Served - No Reply Evidence by Opponent: A statement served in accordance with section 37 of the Trade-marks Regulations by the opponent on the applicant to advise that the opponent will not be filing reply evidence.
128,Partial Evidence Filed by Opponent: The Registrar has received partial evidence filed by the opponent under s. 41 of the Regulations.
129,Partial Evidence Served on Applicant: Partial evidence served in accordance with section 37 of the Trade-marks Regulations by the opponent on the applicant.
130,Reply Evidence Filed by Opponent: The Opponent has filed evidence under s. 43 of the Regulations.
131,Reply Evidence Served on Applicant: Reply evidence served in accordance with section 37 of the Trade-marks Regulations by the opponent on the applicant.
132,Statement Filed - No Reply Evidence by Opponent: The opponent has confirmed in writing that he/she will not be filing evidence as required by s. 41 of the Regulations and subsection 38(7.1) of the Act.
136,No Reply Evidence by Opponent: No reply evidence filed by opponent during the opposition proceeding.
138,Partial Reply Evidence Filed by Opponent: The Registrar has received partial evidence filed by the opponent under s. 43 of the Regulations.
139,Partial Reply Evidence Served by Opponent: Partial reply evidence served in accordance with section 37 of the Trade-marks Regulations by the opponent on the applicant.
140,Leave Evidence Filed by Opponent: The Registrar has received evidence filed by the opponent under s. 44 of the Regulations.
141,Leave Evidence Served on Applicant: Additional evidence, which was not available during the opponent’s evidence stage, sent by the opponent to the applicant.
143,Leave Evidence Accepted from Opponent: Additional evidence from opponent accepted to form part of opposition proceedings.
144,Leave Evidence Refused from Opponent: Additional evidence from opponent refused and does not form part of opposition proceedings.
145,Cross Examination Undertakings Filed by Opponent - Rule 42: Undertakings for cross examination of the applicant’s Rule 42 evidence filed with the Trademarks Opposition Board by the opponent.
147,Cross Examination Order on Applicant - Rule 42: An order issued by the Board to give the opponent the right to cross examine the applicant’s affidavits filed as evidence under Rule 42 in the opposition proceeding.
148,Cross Examination Transcripts Filed by Opponent - Rule 42: Transcripts of cross examination of the applicant’s Rule 42 evidence filed with the Trademarks Opposition Board by the opponent. 
149,Cross Examination of Applicant Cancelled - Rule 42: The opponent has confirmed that he/she will not proceed with the cross examination of the applicant’s affidavits filed under s. 42 of the Regulations.
150,Written Argument Requested – Applicant: The Registrar issued the written notice under subsection 46(1) of the Regulations, advising that the applicant may, within one month after the date of the notice, file written arguments with the Registrar.
151,Written Argument Requested – Opponent: The Registrar issued the written notice under subsection 46(1) of the Regulations advising that the opponent may, within one month after the date of the notice, file written arguments with the Registrar.
152,Written Argument Filed by Opponent: The opponent has filed written arguments.
153,Written Argument Filed by Applicant: The applicant has filed written arguments.
154,Written Argument Exchanged: Written arguments filed by the applicant and the opponent are sent to the other party by the Trademarks Opposition Board.
155,Oral Hearing Notice Mailed: The Registrar has issued a notice setting the date, time and location of the hearing in this case.
156,Request for Oral Hearing by Opponent: Request received from the opponent to have an oral hearing before the Trademarks Opposition Board.
157,Request for Oral Hearing by Applicant: Request received from the applicant to have an oral hearing before the Trademarks Opposition Board.
